İl,İlçe,SEGE_Skor,Hane_Basina_ADSL_Abonesi
Aydın,Yenipazar,-0.296,0.3267
İzmir,Kınık,-0.297,0.2252
Kütahya,Emet,-0.299,0.3181
Isparta,Atabey,-0.299,0.238
Manisa,Sarıgöl,-0.3,0.2176
Bilecik,Pazaryeri,-0.301,0.2509
Erzincan,İliç,-0.301,0.2012
Osmaniye,Bahçe,-0.302,0.3355
Muş,Merkez,-0.303,0.2764
Balıkesir,Manyas,-0.303,0.1927
Tunceli,Hozat,-0.304,0.2638
İzmir,Bayındır,-0.304,0.1877
Aydın,Köşk,-0.306,0.2111
Kahramanmaraş,Afşin,-0.307,0.2787
Eskişehir,Seyitgazi,-0.31,0.2248
Denizli,Bozkurt,-0.311,0.3305
Niğde,Ulukışla,-0.314,0.2565
Kastamonu,Taşköprü,-0.319,0.2562
Kayseri,Özvatan,-0.325,0.2852
Burdur,Tefenni,-0.325,0.2584
Afyonkarahisar,Çay,-0.328,0.3151
Samsun,Kavak,-0.331,0.2765
Şırnak,Merkez,-0.333,0.2908
Burdur,Yeşilova,-0.336,0.1829
Çorum,Alaca,-0.339,0.2526
Trabzon,Çarşıbaşı,-0.34,0.2551
Muğla,Kavaklıdere,-0.34,0.3168
Giresun,Eynesil,-0.35,0.3381
Sakarya,Kaynarca,-0.351,0.306
Eskişehir,Mahmudiye,-0.351,0.2976
Edirne,Lalapaşa,-0.351,0.3209
Yozgat,Yenifakılı,-0.352,0.2254
Bursa,Orhaneli,-0.354,0.3325
Ankara,Kalecik,-0.359,0.3136
Mardin,Midyat,-0.36,0.205
Yozgat,Şefaatli,-0.362,0.2931
Manisa,Gördes,-0.362,0.183
Gümüşhane,Torul,-0.368,0.2619
Afyonkarahisar,Sultandağı,-0.368,0.2568
Rize,Derepazarı,-0.37,0.2871
Gaziantep,İslahiye,-0.37,0.2379
Bursa,Harmancık,-0.372,0.2316
Trabzon,Dernekpazarı,-0.374,0.32
Tunceli,Ovacık,-0.375,0.284
Van,Edremit,-0.377,0.2564
Kayseri,Bünyan,-0.379,0.3135
Denizli,Kale,-0.379,0.2715
Erzurum,İspir,-0.381,0.2896
Karabük,Eskipazar,-0.383,0.2208
Nevşehir,Gülşehir,-0.385,0.2654
Hakkari,Çukurca,-0.386,0.1822
Konya,Sarayönü,-0.386,0.324
Isparta,Senirkent,-0.387,0.2214
Kırklareli,Pehlivanköy,-0.387,0.327
Kahramanmaraş,Pazarcık,-0.388,0.2921
Gaziantep,Oğuzeli,-0.389,0.3279
Erzincan,Refahiye,-0.391,0.2225
Bursa,Keles,-0.392,0.2573
Afyonkarahisar,İscehisar,-0.392,0.1988
Malatya,Arapgir,-0.393,0.2232
Yozgat,Akdağmadeni,-0.393,0.1879
Kayseri,Yahyalı,-0.395,0.2505
Mardin,Nusaybin,-0.395,0.2873
Yozgat,Çayıralan,-0.398,0.255
Sivas,Zara,-0.4,0.303
Eskişehir,Alpu,-0.401,0.1859
Çanakkale,Yenice,-0.404,0.1906
Artvin,Şavşat,-0.405,0.277
Edirne,İpsala,-0.408,0.2282
Yozgat,Sarıkaya,-0.411,0.2883
Manisa,Köprübaşı,-0.412,0.1812
Elazığ,Keban,-0.416,0.2945
Kastamonu,Devrekani,-0.416,0.2779
Samsun,Alaçam,-0.417,0.208
Ordu,Perşembe,-0.418,0.1966
Isparta,Yenişarbademli,-0.421,0.2435
Aydın,Karacasu,-0.422,0.3279
Kırıkkale,Karakeçili,-0.423,0.1818
Eskişehir,Beylikova,-0.424,0.2577
Bolu,Seben,-0.425,0.3165
Balıkesir,Savaştepe,-0.426,0.1716
Tunceli,Çemişgezek,-0.427,0.323
Afyonkarahisar,Başmakçı,-0.427,0.2283
Kastamonu,Hanönü,-0.427,0.187
Elazığ,Kovancılar,-0.428,0.2731
Gümüşhane,Kelkit,-0.429,0.2383
Malatya,Darende,-0.43,0.3269
Bilecik,İnhisar,-0.43,0.2945
Denizli,Babadağ,-0.43,0.2611
Artvin,Kemalpaşa,-0.432,0.2911
Uşak,Sivaslı,-0.434,0.2887
Adana,İmamoğlu,-0.434,0.2045
Sakarya,Taraklı,-0.437,0.2484
Bolu,Göynük,-0.441,0.327
Adıyaman,Besni,-0.444,0.2373
Bilecik,Gölpazarı,-0.446,0.3269
Burdur,Çavdır,-0.448,0.2719
Adana,Yumurtalık,-0.448,0.3274
Karabük,Yenice,-0.448,0.2311
Kastamonu,Çatalzeytin,-0.448,0.3184
Gaziantep,Nurdağı,-0.45,0.222
Bingöl,Yayladere,-0.451,0.1762
Kastamonu,Daday,-0.451,0.284
Eskişehir,Mihalgazi,-0.452,0.2702
Kastamonu,Azdavay,-0.453,0.1976
Sakarya,Karapürçek,-0.453,0.2602
Rize,Kalkandere,-0.453,0.1708
Artvin,Ardanuç,-0.454,0.2456
Balıkesir,Dursunbey,-0.456,0.2142
Denizli,Güney,-0.457,0.3204
Bolu,Mudurnu,-0.461,0.2425
Ordu,Aybastı,-0.464,0.2963
Tunceli,Pertek,-0.465,0.3056
Trabzon,Tonya,-0.469,0.2642
Balıkesir,Havran,-0.471,0.2984
Düzce,Gölyaka,-0.472,0.3039
Sivas,Kangal,-0.472,0.2082
Sivas,Gürün,-0.475,0.2061
Şırnak,Cizre,-0.475,0.1772
Burdur,Ağlasun,-0.476,0.2561
Kahramanmaraş,Türkoğlu,-0.477,0.2136
Hakkari,Yüksekova,-0.477,0.223
Balıkesir,Sındırgı,-0.477,0.2012
Sivas,Gemerek,-0.478,0.2928
Ankara,Evren,-0.478,0.2222
Kırıkkale,Keskin,-0.48,0.172
İzmir,Beydağ,-0.481,0.2428
Trabzon,Köprübaşı,-0.482,0.2633
Balıkesir,İvrindi,-0.483,0.2957
Elazığ,Karakoçan,-0.483,0.3039
Kütahya,Domaniç,-0.483,0.1945
Afyonkarahisar,Şuhut,-0.488,0.3176
Kastamonu,İhsangazi,-0.49,0.2444
Amasya,Taşova,-0.49,0.1742
Aksaray,Sarıyahşi,-0.491,0.2842
Çorum,İskilip,-0.492,0.2732
Tunceli,Pülümür,-0.492,0.1979
Ardahan,Posof,-0.492,0.24
Ankara,Güdül,-0.493,0.3161
Rize,İkizdere,-0.5,0.3019
Bilecik,Yenipazar,-0.501,0.1663
Kahramanmaraş,Göksun,-0.502,0.1648
Kastamonu,Ağlı,-0.503,0.3003
Muğla,Seydikemer,-0.505,0.2862
Mersin,Çamlıyayla,-0.505,0.196
Konya,Hüyük,-0.506,0.2633
Erzincan,Otlukbeli,-0.508,0.2135
Çorum,Dodurga,-0.511,0.1771
Sivas,Akıncılar,-0.511,0.3083
Kayseri,Pınarbaşı,-0.512,0.2527
Adıyaman,Kahta,-0.512,0.192
Kütahya,Hisarcık,-0.514,0.263
Aydın,Bozdoğan,-0.514,0.2634
Malatya,Akçadağ,-0.514,0.2647
Gümüşhane,Şiran,-0.515,0.2744
Kütahya,Şaphane,-0.516,0.2936
Kütahya,Altıntaş,-0.516,0.231
Bingöl,Kiğı,-0.517,0.1719
Çankırı,Atkaracalar,-0.518,0.2363
Adana,Tufanbeyli,-0.521,0.1966
Afyonkarahisar,Evciler,-0.525,0.2258
Eskişehir,Sarıcakaya,-0.525,0.2868
Ankara,Çamlıdere,-0.526,0.2712
Konya,Kadınhanı,-0.526,0.3081
Kırıkkale,Balışeyh,-0.527,0.2379
Erzincan,Tercan,-0.527,0.3163
Trabzon,Şalpazarı,-0.527,0.2161
Manisa,Selendi,-0.528,0.1958
Burdur,Çeltikçi,-0.528,0.3166
Karaman,Başyayla,-0.528,0.2503
Aydın,Koçarlı,-0.531,0.2659
Denizli,Baklan,-0.532,0.1762
Kastamonu,Cide,-0.533,0.2131
Balıkesir,Kepsut,-0.536,0.1897
Samsun,Vezirköprü,-0.537,0.2206
Samsun,Yakakent,-0.538,0.2393
Hatay,Reyhanlı,-0.54,0.2053
Giresun,Alucra,-0.54,0.2118
Eskişehir,Günyüzü,-0.541,0.255
Denizli,Çameli,-0.542,0.1763
Aksaray,Eskil,-0.542,0.316
Manisa,Gölmarmara,-0.543,0.2403
Erzincan,Çayırlı,-0.543,0.3116
Konya,Çeltik,-0.544,0.1853
Adana,Karaisalı,-0.546,0.2968
Burdur,Kemer,-0.549,0.2058
Kayseri,Felahiye,-0.552,0.189
Eskişehir,Mihalıççık,-0.552,0.2384
Konya,Yunak,-0.559,0.2869
Erzurum,Uzundere,-0.561,0.3016
Kütahya,Çavdarhisar,-0.562,0.2658
Aksaray,Ağaçören,-0.563,0.2556
Adana,Karataş,-0.564,0.2835
Kastamonu,Küre,-0.564,0.263
Kastamonu,Araç,-0.565,0.2387
Kırıkkale,Delice,-0.567,0.2534
Şanlıurfa,Eyyübiye,-0.568,0.2382
Denizli,Beyağaç,-0.57,0.1905
Diyarbakır,Ergani,-0.572,0.2325
Çankırı,Eldivan,-0.573,0.2869
Konya,Bozkır,-0.574,0.1771
Bartın,Ulus,-0.576,0.2267
Giresun,Yağlıdere,-0.576,0.2134
Ankara,Haymana,-0.578,0.2038
Erzurum,Aşkale,-0.578,0.2982
Osmaniye,Hasanbeyli,-0.58,0.1821
Tunceli,Mazgirt,-0.58,0.1624
Tokat,Artova,-0.583,0.2786
Çorum,Kargı,-0.583,0.1885
Kırşehir,Boztepe,-0.584,0.2197
Sinop,Erfelek,-0.585,0.2309
Yozgat,Saraykent,-0.587,0.1885
Sivas,İmranlı,-0.587,0.2332
Malatya,Doğanşehir,-0.59,0.247
Erzurum,Tortum,-0.592,0.2207
Kütahya,Pazarlar,-0.592,0.1748
Elazığ,Maden,-0.592,0.1666
Afyonkarahisar,İhsaniye,-0.592,0.1876
Giresun,Doğankent,-0.593,0.225
Sivas,Gölova,-0.594,0.229
Sivas,Ulaş,-0.595,0.2706
Kırşehir,Akpınar,-0.596,0.2117
Bayburt,Aydıntepe,-0.598,0.2016
İzmir,Kiraz,-0.599,0.2904
Balıkesir,Balya,-0.6,0.2176
Çorum,Boğazkale,-0.604,0.2094
Erzincan,Kemah,-0.604,0.1816
Çankırı,Korgun,-0.606,0.2964
Ordu,Kumru,-0.606,0.2637
Malatya,Hekimhan,-0.606,0.1684
Kırıkkale,Çelebi,-0.608,0.1727
Uşak,Karahallı,-0.609,0.1586
Ordu,Gölköy,-0.61,0.2296
Ankara,Bala,-0.611,0.2901
Erzurum,Pazaryolu,-0.612,0.2499
Kayseri,Sarıoğlan,-0.613,0.222
Nevşehir,Derinkuyu,-0.615,0.2074
Konya,Doğanhisar,-0.616,0.2367
Trabzon,Düzköy,-0.616,0.2115
Yozgat,Çekerek,-0.619,0.3027
Afyonkarahisar,Bayat,-0.62,0.1969
Konya,Derebucak,-0.621,0.1631
Şırnak,Silopi,-0.621,0.2361
Konya,Güneysınır,-0.621,0.2134
Elazığ,Ağın,-0.622,0.2697
Sivas,Doğanşar,-0.625,0.2161
Tokat,Almus,-0.626,0.3089
Hatay,Hassa,-0.627,0.1798
Afyonkarahisar,Sinanpaşa,-0.627,0.2364
Gümüşhane,Köse,-0.629,0.2805
Erzincan,Üzümlü,-0.63,0.2889
Kastamonu,Pınarbaşı,-0.63,0.3081
Adıyaman,Çelikhan,-0.631,0.2922
Karaman,Sarıveliler,-0.631,0.2863
Hakkari,Şemdinli,-0.633,0.1654
Tokat,Pazar,-0.633,0.2868
Giresun,Çanakçı,-0.637,0.3016
Erzurum,Olur,-0.637,0.1764
Afyonkarahisar,Kızılören,-0.64,0.28
Konya,Altınekin,-0.641,0.1934
Isparta,Gelendost,-0.641,0.2849
Bingöl,Genç,-0.646,0.1833
Ağrı,Doğubayazıt,-0.647,0.1707
Elazığ,Sivrice,-0.647,0.1927
Bolu,Kıbrıscık,-0.655,0.1854
Tokat,Reşadiye,-0.657,0.2981
Karabük,Eflani,-0.658,0.2039
Şanlıurfa,Birecik,-0.66,0.1988
Kahramanmaraş,Nurhak,-0.661,0.181
Burdur,Altınyayla,-0.663,0.1632
Sivas,Altınyayla,-0.664,0.148
Amasya,Hamamözü,-0.665,0.1972
Aksaray,Sultanhanı,-0.667,0.2928
Kayseri,Sarız,-0.67,0.3049
Konya,Akören,-0.672,0.2421
Kayseri,Tomarza,-0.674,0.3063
Trabzon,Hayrat,-0.676,0.1493
Kırklareli,Kofçaz,-0.677,0.2663
Isparta,Aksu,-0.679,0.2612
Konya,Hadim,-0.681,0.2443
Konya,Yalıhüyük,-0.682,0.2733
Karaman,Ayrancı,-0.683,0.2466
Konya,Tuzlukçu,-0.686,0.1948
Sinop,Durağan,-0.687,0.2608
Eskişehir,Han,-0.687,0.1564
Aksaray,Gülağaç,-0.688,0.197
Aydın,Karpuzlu,-0.693,0.2513
Malatya,Yazıhan,-0.696,0.1946
Çorum,Ortaköy,-0.697,0.2024
Batman,Hasankeyf,-0.697,0.1489
Kırşehir,Çiçekdağı,-0.697,0.1987
Çankırı,Orta,-0.699,0.2222
Ordu,Korgan,-0.704,0.2431
Gümüşhane,Kürtün,-0.705,0.1833
Bitlis,Ahlat,-0.706,0.2061
Konya,Taşkent,-0.71,0.2134
Elazığ,Baskil,-0.714,0.182
Çankırı,Kızılırmak,-0.715,0.1515
Van,Erciş,-0.715,0.2324
Malatya,Kale,-0.717,0.2204
Kahramanmaraş,Andırın,-0.718,0.1816
Çorum,Mecitözü,-0.719,0.2773
Şırnak,Beytüşşebap,-0.723,0.2018
Bayburt,Demirözü,-0.724,0.1528
Diyarbakır,Bismil,-0.727,0.2559
Tokat,Yeşilyurt,-0.729,0.181
Elazığ,Alacakaya,-0.729,0.1835
Bingöl,Solhan,-0.73,0.2222
Samsun,Salıpazarı,-0.73,0.1494
Ordu,Ulubey,-0.73,0.2892
Bartın,Kurucaşile,-0.732,0.252
Konya,Emirgazi,-0.733,0.1899
Niğde,Çamardı,-0.733,0.2321
Gaziantep,Araban,-0.736,0.2588
Elazığ,Palu,-0.737,0.2978
Sivas,Hafik,-0.742,0.2483
Tunceli,Nazımiye,-0.744,0.144
Ordu,Kabadüz,-0.744,0.2005
Samsun,Asarcık,-0.745,0.1791
Nevşehir,Acıgöl,-0.746,0.2637
Siirt,Kurtalan,-0.746,0.2534
Sivas,Koyulhisar,-0.748,0.2872
Sinop,Saraydüzü,-0.751,0.2461
Bursa,Büyükorhan,-0.752,0.1461
Aksaray,Güzelyurt,-0.755,0.254
Sivas,Yıldızeli,-0.762,0.2446
Adana,Aladağ,-0.764,0.1787
Konya,Halkapınar,-0.765,0.2594
Erzurum,Pasinler,-0.765,0.2473
Afyonkarahisar,Hocalar,-0.772,0.2904
Ardahan,Çıldır,-0.773,0.2603
Ordu,Çamaş,-0.776,0.258
Karabük,Ovacık,-0.776,0.173
Erzurum,Horasan,-0.778,0.2309
Kütahya,Aslanapa,-0.782,0.1821
Kars,Kağızman,-0.784,0.2157
Bolu,Dörtdivan,-0.784,0.2529
Samsun,Ayvacık,-0.784,0.2645
Çorum,Laçin,-0.789,0.1514
Batman,Beşiri,-0.792,0.2002
Van,Gevaş,-0.794,0.2846
Erzurum,Narman,-0.796,0.2822
Şanlıurfa,Siverek,-0.797,0.1874
Şanlıurfa,Halfeti,-0.798,0.2729
Amasya,Göynücek,-0.798,0.1884
Afyonkarahisar,Çobanlar,-0.801,0.2528
Şanlıurfa,Viranşehir,-0.803,0.1479
Kars,Sarıkamış,-0.804,0.1855
Giresun,Güce,-0.805,0.1979
Ordu,Kabataş,-0.805,0.161
Edirne,Meriç,-0.806,0.2002
Kırıkkale,Sulakyurt,-0.809,0.2926
Şırnak,Uludere,-0.81,0.2804
Isparta,Sütçüler,-0.811,0.1993
Kayseri,Akkışla,-0.812,0.2819
Ardahan,Damal,-0.814,0.183
Antalya,Gündoğmuş,-0.815,0.1698
Kırşehir,Akçakent,-0.816,0.2692
Çorum,Oğuzlar,-0.82,0.2024
Giresun,Dereli,-0.824,0.267
Diyarbakır,Silvan,-0.824,0.2796
Ardahan,Göle,-0.831,0.2483
Bitlis,Adilcevaz,-0.832,0.2633
Kars,Akyaka,-0.832,0.2847
Kilis,Elbeyli,-0.835,0.233
Şanlıurfa,Ceylanpınar,-0.835,0.1689
Çankırı,Bayramören,-0.836,0.242
Gaziantep,Karkamış,-0.837,0.2813
Şanlıurfa,Hilvan,-0.84,0.2278
Adıyaman,Samsat,-0.84,0.2855
Kahramanmaraş,Çağlayancerit,-0.84,0.2616
Şırnak,İdil,-0.842,0.2307
Ordu,Mesudiye,-0.842,0.2894
Muş,Varto,-0.844,0.2443
Yozgat,Kadışehri,-0.847,0.272
Iğdır,Aralık,-0.852,0.1409
Ordu,Çatalpınar,-0.854,0.1354
Mardin,Ömerli,-0.858,0.1296
Kastamonu,Şenpazar,-0.859,0.1593
Ordu,Gürgentepe,-0.859,0.2578
Hatay,Yayladağı,-0.863,0.2011
Mardin,Dargeçit,-0.866,0.1425
Çorum,Bayat,-0.868,0.279
Malatya,Kuluncak,-0.873,0.2582
Malatya,Arguvan,-0.877,0.2236
Düzce,Yığılca,-0.88,0.135
Batman,Kozluk,-0.885,0.2755
Diyarbakır,Çermik,-0.887,0.214
Çankırı,Yapraklı,-0.893,0.204
Konya,Ahırlı,-0.907,0.2214
Erzurum,Hınıs,-0.909,0.1895
Şanlıurfa,Suruç,-0.91,0.2073
Tokat,Sulusaray,-0.911,0.1712
Kahramanmaraş,Ekinözü,-0.92,0.2371
Giresun,Çamoluk,-0.92,0.1757
Çorum,Uğurludağ,-0.923,0.1847
Ardahan,Hanak,-0.926,0.2501
Yozgat,Aydıncık,-0.928,0.2794
Ordu,Çaybaşı,-0.932,0.1254
Konya,Derbent,-0.936,0.1781
Tokat,Başçiftlik,-0.936,0.2541
Mardin,Yeşilli,-0.936,0.1651
Kars,Arpaçay,-0.943,0.2619
Adana,Saimbeyli,-0.946,0.14
Şanlıurfa,Bozova,-0.947,0.1906
Hatay,Kumlu,-0.951,0.1915
Iğdır,Tuzluca,-0.953,0.2437
Adana,Feke,-0.954,0.1345
Şırnak,Güçlükonak,-0.959,0.2437
Batman,Gercüş,-0.962,0.2128
Bingöl,Yedisu,-0.968,0.2727
Malatya,Doğanyol,-0.973,0.195
Niğde,Altunhisar,-0.975,0.206
Kars,Selim,-0.977,0.1195
Niğde,Çiftlik,-0.977,0.1988
Ordu,İkizce,-0.979,0.1846
Adıyaman,Tut,-0.979,0.1954
Osmaniye,Sumbas,-0.987,0.2058
Bitlis,Güroymak,-1.002,0.2399
Iğdır,Karakoyunlu,-1.008,0.2116
Ordu,Akkuş,-1.012,0.1602
Ağrı,Eleşkirt,-1.013,0.2021
Sinop,Dikmen,-1.014,0.1597
Bingöl,Karlıova,-1.017,0.169
Mardin,Mazıdağı,-1.019,0.237
Diyarbakır,Lice,-1.022,0.2445
Muş,Malazgirt,-1.027,0.1712
Muş,Hasköy,-1.032,0.1503
Muş,Bulanık,-1.036,0.2203
Hatay,Altınözü,-1.038,0.1329
Gaziantep,Yavuzeli,-1.049,0.2081
Ağrı,Patnos,-1.05,0.1676
Siirt,Baykan,-1.061,0.1982
Batman,Sason,-1.063,0.126
Kars,Susuz,-1.064,0.1243
Van,Çatak,-1.064,0.1652
Elazığ,Arıcak,-1.07,0.1627
Mardin,Derik,-1.085,0.2371
Diyarbakır,Çüngüş,-1.092,0.1481
Siirt,Tillo,-1.092,0.165
Bingöl,Adaklı,-1.097,0.2197
Malatya,Pütürge,-1.097,0.147
Siirt,Eruh,-1.098,0.2202
Diyarbakır,Kulp,-1.102,0.2204
Bitlis,Hizan,-1.103,0.2156
Van,Muradiye,-1.112,0.1175
Kastamonu,Doğanyurt,-1.113,0.2321
Van,Gürpınar,-1.116,0.1834
Erzurum,Şenkaya,-1.119,0.2156
Diyarbakır,Dicle,-1.122,0.1564
Ağrı,Taşlıçay,-1.124,0.168
Van,Başkale,-1.13,0.1864
Erzurum,Çat,-1.131,0.1037
Diyarbakır,Kocaköy,-1.131,0.2592
Hakkari,Derecik,-1.135,0.1212
Ağrı,Diyadin,-1.147,0.2308
Kilis,Polateli,-1.155,0.1125
Van,Özalp,-1.159,0.1984
Kars,Digor,-1.164,0.1738
Diyarbakır,Eğil,-1.166,0.1432
Erzurum,Karaçoban,-1.172,0.2259
Mardin,Savur,-1.187,0.1867
Erzurum,Köprüköy,-1.189,0.1453
Adıyaman,Sincik,-1.202,0.1887
Van,Çaldıran,-1.22,0.1404
Muş,Korkut,-1.22,0.1306
Van,Saray,-1.237,0.2021
Kilis,Musabeyli,-1.243,0.0949
Van,Bahçesaray,-1.244,0.234
Ağrı,Tutak,-1.254,0.1837
Diyarbakır,Çınar,-1.256,0.2351
Bitlis,Mutki,-1.257,0.1027
Şanlıurfa,Akçakale,-1.258,0.1428
Diyarbakır,Hani,-1.267,0.2165
Erzurum,Karayazı,-1.274,0.1828
Ağrı,Hamur,-1.275,0.2026
Siirt,Şirvan,-1.277,0.1253
Erzurum,Tekman,-1.277,0.2169
Diyarbakır,Hazro,-1.285,0.1704
Adıyaman,Gerger,-1.289,0.1027
Siirt,Pervari,-1.345,0.1416
Şanlıurfa,Harran,-1.447,0.2118
